Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total
2021,1,Buenos Aires,"629,679.00","2,452,056.00","821,597.00","98,806.00","57,864.00","4,060,002.00"
2021,1,Capital Federal,"159,805.00","1,145,093.00","3,998.00","5,559.00","29,236.00","1,379,673.00"
2021,1,Catamarca,"26,316.00","4,409.00","18,688.00",322.00,"2,233.00","51,968.00"
2021,1,Chaco,"43,214.00","61,251.00","25,426.00","8,004.00","1,875.00","13,977.00"
2021,1,Chubut,"45,501.00","4,096.00","3,444.00","23,723.00","18,712.00","13,234.00"
2021,1,Córdoba,"26,035.00","444,695.00","134,634.00","54,137.00","17,065.00","910,881.00"
2021,1,Corrientes,"4,916.00","62,876.00","3,337.00","5,949.00","5,303.00","126,625.00"
2021,1,Entre Ríos,"83,688.00","118,424.00","16,846.00","20,836.00","12,169.00","251,963.00"
2021,1,Formosa,"20,663.00","11,412.00","2,562.00","15,669.00",380.00,"50,686.00"
2021,1,Jujuy,"32,254.00","54,324.00","17,322.00","2,677.00","3,879.00","110,456.00"
2021,1,La Pampa,"8,946.00","58,711.00","15,779.00","12,369.00",13.00,"97,105.00"
2021,1,La Rioja,"17,363.00","34,984.00",1.00,250.00,30.00,"52,628.00"
2021,1,Mendoza,"91,844.00","69,295.00","38,619.00","18,332.00",833.00,"218,923.00"
2021,1,Misiones,"48,292.00","82,339.00","7,064.00","4,796.00","6,896.00","149,387.00"
2021,1,Neuquén,"30,223.00","70,457.00","14,171.00","17,752.00",632.00,"133,235.00"
2021,1,Río Negro,"48,777.00","42,192.00","17,828.00","13,994.00","18,377.00","141,168.00"
2021,1,Salta,"54,768.00","89,187.00","31,498.00","5,669.00","6,452.00","187,574.00"
2021,1,San Juan,"40,072.00","11,589.00","6,671.00","11,482.00","8,453.00","78,267.00"
2021,1,San Luis,"8,417.00","10,678.00",28.00,"63,826.00","36,205.00","119,154.00"
2021,1,Santa Cruz,"12,347.00","23,089.00","5,975.00","4,264.00",390.00,"46,065.00"
2021,1,Santa Fe,"277,012.00","42,148.00","70,976.00","3,914.00","17,519.00","826,127.00"
2021,1,Santiago Del Estero,"26,468.00","75,849.00",570.00,"5,158.00","3,596.00","111,641.00"
2021,1,Tierra Del Fuego,"12,853.00","27,247.00",6.00,0.00,316.00,"40,422.00"
2021,1,Tucumán,"147,199.00","12,185.00","69,954.00","1,834.00",740.00,"231,912.00"
2020,4,Buenos Aires,"635,651.00","2,441,248.00","804,991.00","93,444.00","57,927.00","4,033,261.00"
2020,4,Capital Federal,"16,306.00","1,142,528.00","3,989.00","4,815.00","29,237.00","1,379,530.00"
2020,4,Catamarca,"2,687.00","5,115.00","17,856.00",322.00,"2,233.00","52,396.00"
2020,4,Chaco,"44,332.00",612.00,"23,687.00","7,997.00","1,875.00","139,091.00"
2020,4,Chubut,"45,703.00","39,756.00",304.00,"23,363.00","18,712.00","130,574.00"
2020,4,Córdoba,"267,396.00","439,322.00","12,562.00","52,827.00","17,536.00","902,701.00"
2020,4,Corrientes,"50,102.00","61,495.00","3,146.00","5,626.00",529.00,"125,659.00"
2020,4,Entre Ríos,"85,683.00","11,367.00","15,653.00","20,206.00","12,169.00","247,381.00"
2020,4,Formosa,"21,264.00","10,789.00","2,432.00","15,341.00",380.00,"50,206.00"
2020,4,Jujuy,"3,285.00","52,815.00","15,639.00","1,077.00",347.00,"105,851.00"
2020,4,La Pampa,"9,009.00","58,945.00","15,432.00","12,194.00","1,315.00","96,895.00"
2020,4,La Rioja,"17,513.00","34,984.00",1.00,250.00,30.00,"52,778.00"
2020,4,Mendoza,"91,842.00","68,364.00","36,083.00","18,331.00",833.00,"215,453.00"
2020,4,Misiones,"49,462.00","79,855.00","6,589.00","4,359.00","6,896.00","147,161.00"
2020,4,Neuquén,"30,468.00","70,614.00","13,732.00","17,689.00",632.00,"133,135.00"
2020,4,Río Negro,"48,991.00","42,022.00","17,826.00","13,994.00","18,377.00","14,121.00"
2020,4,Salta,"56,659.00","87,817.00","30,604.00","5,858.00","6,452.00","18,739.00"
2020,4,San Juan,"40,072.00","7,004.00","6,599.00","10,468.00","8,453.00","72,596.00"
2020,4,San Luis,"8,417.00","11,767.00",27.00,"63,019.00","36,205.00","119,435.00"
2020,4,Santa Cruz,"12,347.00","19,657.00","1,041.00","4,659.00",297.00,"40,674.00"
2020,4,Santa Fe,"287,271.00","414,746.00","62,692.00","38,712.00","17,392.00","820,813.00"
2020,4,Santiago Del Estero,"26,812.00","70,522.00",570.00,"5,169.00","3,596.00","106,669.00"
2020,4,Tierra Del Fuego,"12,853.00","26,439.00",6.00,0.00,316.00,"39,614.00"
2020,4,Tucumán,"149,322.00","1,115.00","68,043.00","1,834.00",740.00,"231,089.00"
2020,3,Buenos Aires,"65,393.00","2,384,557.00","749,087.00","94,162.00","55,541.00","3,937,277.00"
2020,3,Capital Federal,"170,375.00","1,129,573.00","39,417.00","3,936.00","29,374.00","1,372,675.00"
2020,3,Catamarca,"26,868.00",369.00,"16,857.00",261.00,"2,228.00","49,904.00"
2020,3,Chaco,"45,745.00","58,825.00","20,675.00","6,706.00","2,003.00","133,954.00"
2020,3,Chubut,"45,761.00","39,386.00","2,897.00","23,216.00","18,767.00","130,027.00"
2020,3,Córdoba,"27,636.00","430,771.00","102,217.00","48,368.00","9,756.00","867,472.00"
2020,3,Corrientes,"50,858.00","58,681.00",296.00,"5,513.00","5,379.00","123,391.00"
2020,3,Entre Ríos,"87,892.00","10,695.00","13,954.00","20,379.00","1,232.00","241,495.00"
2020,3,Formosa,"2,179.00","10,003.00",2.00,"15,023.00",393.00,"49,209.00"
2020,3,Jujuy,"32,611.00","57,682.00","11,112.00",952.00,"4,371.00","106,728.00"
2020,3,La Pampa,"9,015.00","56,845.00","14,677.00","11,893.00","1,305.00","93,735.00"
2020,3,La Rioja,"17,346.00","34,984.00",1.00,250.00,35.00,"52,616.00"
2020,3,Mendoza,"91,908.00","64,672.00","32,817.00","17,523.00",868.00,"207,788.00"
2020,3,Misiones,"50,195.00","77,989.00","2,572.00","3,445.00","8,985.00","143,186.00"
2020,3,Neuquén,"30,222.00","70,446.00","11,043.00","16,787.00",737.00,"129,235.00"
2020,3,Río Negro,"4,953.00","40,001.00","10,381.00","13,187.00","18,368.00","131,467.00"
2020,3,Salta,"58,216.00","84,128.00","25,445.00","5,764.00","7,293.00","180,846.00"
2020,3,San Juan,"40,092.00","9,223.00","5,509.00","14,023.00",848.00,"77,327.00"
2020,3,San Luis,"8,401.00","10,077.00",6.00,"61,828.00","36,253.00","116,565.00"
2020,3,Santa Cruz,"12,845.00","16,098.00","1,027.00","6,938.00","2,373.00","39,281.00"
2020,3,Santa Fe,"295,051.00","405,807.00","45,721.00","37,112.00","19,307.00","802,998.00"
2020,3,Santiago Del Estero,"26,419.00","7,072.00",555.00,"4,185.00","3,613.00","105,492.00"
2020,3,Tierra Del Fuego,"12,854.00","26,491.00",0.00,0.00,310.00,"39,655.00"
2020,3,Tucumán,"149,605.00","11,752.00","59,949.00","1,808.00",762.00,"223,876.00"
2020,2,Buenos Aires,"661,272.00","2,244,277.00","723,072.00","91,736.00","57,189.00","3,777,546.00"
2020,2,Capital Federal,"178,896.00","1,106,133.00","39,482.00","3,937.00","29,373.00","1,357,821.00"
2020,2,Catamarca,"26,968.00","3,641.00","14,878.00",261.00,"2,228.00","47,976.00"
2020,2,Chaco,"46,816.00","56,017.00","17,266.00","6,452.00","1,581.00","128,132.00"
2020,2,Chubut,"45,761.00","38,279.00","1,324.00","17,678.00","5,614.00","108,656.00"
2020,2,Córdoba,"282,858.00","415,007.00","85,818.00","44,522.00","8,263.00","836,468.00"
2020,2,Corrientes,"51,248.00","55,536.00","3,144.00","3,927.00","5,011.00","118,866.00"
2020,2,Entre Ríos,"89,391.00","99,423.00","13,954.00","20,042.00","11,303.00","234,113.00"
2020,2,Formosa,"21,805.00","9,353.00","1,882.00","14,723.00",169.00,"47,932.00"
2020,2,Jujuy,"32,705.00","38,938.00","5,057.00",952.00,"16,664.00","94,316.00"
2020,2,La Pampa,"8,551.00","54,422.00","14,232.00","11,314.00",129.00,"89,809.00"
2020,2,La Rioja,"16,885.00","34,984.00",1.00,250.00,35.00,"52,155.00"
2020,2,Mendoza,"91,904.00","62,941.00","29,613.00","15,924.00",802.00,"201,184.00"
2020,2,Misiones,"50,792.00","74,497.00","2,579.00","3,319.00","9,153.00","14,034.00"
2020,2,Neuquén,"30,256.00","6,799.00","11,037.00","15,755.00","1,134.00","126,172.00"
2020,2,Río Negro,"49,756.00","3,965.00","10,382.00","11,331.00","18,367.00","129,486.00"
2020,2,Salta,"59,502.00","8,174.00","24,289.00","5,123.00","7,108.00","177,762.00"
2020,2,San Juan,"40,092.00","8,275.00","5,509.00","7,019.00","8,882.00","69,777.00"
2020,2,San Luis,"8,401.00","8,357.00",6.00,"60,935.00","36,253.00","113,952.00"
2020,2,Santa Cruz,"12,845.00","16,044.00","1,027.00","6,585.00","2,368.00","38,869.00"
2020,2,Santa Fe,"299,974.00","381,679.00","46,698.00","30,487.00","19,094.00","777,932.00"
2020,2,Santiago Del Estero,"25,917.00","72,074.00",355.00,"3,038.00","4,063.00","105,447.00"
2020,2,Tierra Del Fuego,"12,854.00","26,025.00",0.00,0.00,310.00,"39,189.00"
2020,2,Tucumán,"150,084.00","9,833.00","5,512.00","1,357.00",762.00,"217,156.00"
2020,1,Buenos Aires,"673,237.00","2,210,349.00","720,688.00","85,443.00","18,334.00","3,708,051.00"
2020,1,Capital Federal,"184,494.00","1,097,635.00","38,898.00","3,911.00","28,556.00","1,353,494.00"
2020,1,Catamarca,"21,945.00","3,146.00","12,056.00",261.00,"2,227.00","39,635.00"
2020,1,Chaco,"46,356.00","54,144.00","11,958.00","6,239.00",158.00,"120,277.00"
2020,1,Chubut,"45,763.00","27,287.00","1,324.00","16,885.00","5,479.00","96,738.00"
2020,1,Córdoba,"286,168.00","406,109.00","68,512.00","41,617.00","8,693.00","811,099.00"
2020,1,Corrientes,"51,126.00","53,231.00","2,172.00","2,437.00","5,004.00","11,397.00"
2020,1,Entre Ríos,"90,368.00","95,434.00","13,245.00","18,737.00","14,062.00","231,846.00"
2020,1,Formosa,"21,068.00","8,887.00",18.00,"1,451.00",169.00,"46,434.00"
2020,1,Jujuy,"32,066.00","38,938.00","3,078.00",942.00,"16,641.00","91,665.00"
2020,1,La Pampa,"8,553.00","53,755.00","13,821.00","11,295.00","1,802.00","89,226.00"
2020,1,La Rioja,"13,076.00","34,984.00",0.00,251.00,29.00,"4,834.00"
2020,1,Mendoza,"91,955.00","50,251.00","28,059.00","12,465.00",722.00,"183,452.00"
2020,1,Misiones,"51,458.00","69,452.00",122.00,460.00,"10,962.00","133,552.00"
2020,1,Neuquén,"29,305.00","65,951.00","11,031.00","14,711.00",729.00,"121,727.00"
2020,1,Río Negro,"47,756.00","38,479.00","10,381.00","11,222.00","18,362.00","1,262.00"
2020,1,Salta,"60,426.00","75,593.00","23,025.00","4,125.00","7,212.00","170,381.00"
2020,1,San Juan,"40,092.00","6,448.00","5,508.00","7,082.00","5,101.00","64,231.00"
2020,1,San Luis,"8,301.00","7,612.00",5.00,"58,301.00","36,333.00","110,552.00"
2020,1,Santa Cruz,"12,845.00","15,766.00","1,026.00","6,817.00","2,368.00","38,822.00"
2020,1,Santa Fe,"302,366.00","383,673.00","35,123.00","30,488.00","19,468.00","771,118.00"
2020,1,Santiago Del Estero,"24,695.00","70,424.00",200.00,"2,779.00","4,657.00","102,755.00"
2020,1,Tierra Del Fuego,"12,854.00","25,632.00",0.00,0.00,308.00,"38,794.00"
2020,1,Tucumán,"143,184.00","10,494.00","44,687.00","1,355.00",347.00,"200,067.00"
2019,4,Buenos Aires,"720,011.00","2,191,672.00","669,194.00","87,111.00","18,266.00","3,686,254.00"
2019,4,Capital Federal,"196,938.00","1,093,143.00","35,534.00","3,914.00","28,576.00","1,358,105.00"
2019,4,Catamarca,"22,999.00","3,318.00","9,506.00",261.00,"2,227.00","38,311.00"
2019,4,Chaco,"48,661.00","53,602.00","8,831.00","5,229.00",158.00,"117,903.00"
2019,4,Chubut,"47,045.00","26,977.00","1,324.00","15,267.00","5,489.00","96,102.00"
2019,4,Córdoba,"296,872.00","410,038.00","53,335.00","3,775.00","8,693.00","806,688.00"
2019,4,Corrientes,"52,525.00","51,845.00","2,002.00","2,458.00","5,004.00","113,834.00"
2019,4,Entre Ríos,"92,981.00","99,206.00","12,875.00","18,561.00","15,407.00","23,903.00"
2019,4,Formosa,"21,567.00","8,684.00",176.00,"14,531.00",169.00,"46,711.00"
2019,4,Jujuy,"32,949.00","37,604.00",873.00,814.00,"16,641.00","88,881.00"
2019,4,La Pampa,"15,457.00","56,854.00","4,942.00","11,341.00","1,805.00","90,399.00"
2019,4,La Rioja,"13,738.00","34,984.00",0.00,251.00,29.00,"49,002.00"
