Año,Trimestre,Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total
2021,2,Santiago Del Estero,123.00,909.00,"32,034.00","62,224.00","10,359.00",811.00,"6,064.00","1,566.00","11,409.00"
2021,2,Tierra Del Fuego,17.00,0.00,"21,335.00","6,913.00",458.00,476.00,889.00,"1,483.00","35,693.00"
2021,2,Tucumán,32.00,97.00,"40,224.00","51,648.00","23,732.00","5,022.00","109,616.00",268.00,"233,051.00"
2021,1,Buenos Aires,"36,939.00","31,187.00","1,108,368.00","24,052.00","163,747.00","222,061.00","2,246,313.00","10,867.00","4,060,002.00"
2021,1,Capital Federal,135.00,244.00,"159,662.00","76,753.00","56,457.00","83,255.00","1,003,041.00",126.00,"1,379,673.00"
2021,1,Catamarca,71.00,0.00,"7,423.00","8,455.00","10,115.00",712.00,"22,996.00","2,196.00","51,968.00"
2021,1,Chaco,301.00,112.00,"24,357.00","22,102.00","27,556.00","14,496.00","42,462.00","8,384.00","13,977.00"
2021,1,Chubut,106.00,109.00,"86,986.00","21,401.00","15,392.00","2,844.00","1,112.00",439.00,"13,234.00"
2021,1,Córdoba,93.00,"2,386.00","211,799.00","135,092.00","74,659.00","71,984.00","402,191.00","12,677.00","910,881.00"
2021,1,Corrientes,67.00,527.00,"31,544.00","26,223.00","26,169.00","9,001.00","27,641.00","5,453.00","126,625.00"
2021,1,Entre Ríos,105.00,"2,911.00","67,255.00","5,606.00","42,432.00","15,774.00",546.00,"12,826.00","251,963.00"
2021,1,Formosa,56.00,0.00,"22,409.00","7,569.00","7,916.00","1,215.00","9,579.00","1,942.00","50,686.00"
2021,1,Jujuy,49.00,175.00,"23,735.00","17,293.00","40,649.00",568.00,"25,609.00","2,378.00","110,456.00"
2021,1,La Pampa,298.00,554.00,682.00,"7,864.00","7,611.00","2,786.00","7,368.00","2,424.00","97,105.00"
2021,1,La Rioja,18.00,1.00,"36,749.00","5,968.00","4,604.00",215.00,"5,074.00",-1.00,"52,628.00"
2021,1,Mendoza,28.00,40.00,"134,386.00","11,216.00","52,533.00","4,061.00","16,615.00",44.00,"218,923.00"
2021,1,Misiones,51.00,524.00,"40,949.00","25,503.00","27,101.00","1,405.00","32,953.00","8,256.00","149,387.00"
2021,1,Neuquén,116.00,327.00,"56,171.00","8,443.00","5,903.00","5,677.00","5,084.00","5,758.00","133,235.00"
2021,1,Río Negro,125.00,466.00,"70,011.00","4,187.00","13,045.00","3,642.00","29,589.00","20,103.00","141,168.00"
2021,1,Salta,109.00,20.00,"40,785.00","68,149.00","9,164.00","8,139.00","54,889.00","6,319.00","187,574.00"
2021,1,San Juan,25.00,194.00,"60,439.00",858.00,"11,494.00",340.00,276.00,"4,641.00","78,267.00"
2021,1,San Luis,58.00,0.00,"11,889.00","2,926.00","4,429.00","62,913.00",22.00,"36,917.00","119,154.00"
2021,1,Santa Cruz,50.00,0.00,"30,655.00","8,334.00","6,987.00","1,337.00",647.00,"-1,945.00","46,065.00"
2021,1,Santa Fe,518.00,891.00,"201,632.00","204,458.00","91,846.00","65,476.00","236,924.00","24,382.00","826,127.00"
2021,1,Santiago Del Estero,123.00,909.00,"33,884.00","58,464.00","8,549.00",700.00,"4,868.00","4,144.00","111,641.00"
2021,1,Tierra Del Fuego,17.00,0.00,"21,379.00","1,468.00","4,317.00",486.00,919.00,"11,836.00","40,422.00"
2021,1,Tucumán,29.00,97.00,"4,281.00","53,416.00","25,255.00","4,188.00","103,437.00",268.00,"231,912.00"
2020,4,Buenos Aires,"36,939.00","31,197.00","1,109,865.00","242,243.00","214,171.00","213,588.00","2,176,242.00","9,016.00","4,033,261.00"
2020,4,Capital Federal,135.00,244.00,"16,021.00","78,123.00","60,208.00","80,269.00","1,000,073.00",268.00,"1,379,530.00"
2020,4,Catamarca,71.00,0.00,"8,843.00",874.00,"11,436.00",591.00,"20,406.00","2,309.00","52,396.00"
2020,4,Chaco,301.00,112.00,"24,782.00","22,479.00","26,802.00","15,701.00","40,949.00","7,965.00","139,091.00"
2020,4,Chubut,106.00,109.00,"88,157.00","21,824.00","12,046.00","2,818.00","1,112.00","4,402.00","130,574.00"
2020,4,Córdoba,119.00,"2,386.00","214,963.00","135,262.00","82,221.00","70,013.00","384,169.00","13,568.00","902,701.00"
2020,4,Corrientes,67.00,527.00,319.00,"26,321.00","25,687.00","9,383.00","26,789.00","4,985.00","125,659.00"
2020,4,Entre Ríos,105.00,"2,911.00","65,659.00","53,556.00","40,755.00",166.00,"53,141.00","14,654.00","247,381.00"
2020,4,Formosa,56.00,0.00,"2,354.00","7,606.00","7,181.00","1,197.00","8,946.00",168.00,"50,206.00"
2020,4,Jujuy,49.00,182.00,"23,772.00","14,379.00","4,493.00",446.00,"19,282.00","2,811.00","105,851.00"
2020,4,La Pampa,298.00,554.00,"70,184.00","8,124.00","6,562.00","2,396.00","6,257.00",252.00,"96,895.00"
2020,4,La Rioja,18.00,1.00,"36,906.00",606.00,"4,633.00",181.00,"4,979.00",0.00,"52,778.00"
2020,4,Mendoza,28.00,40.00,"146,312.00","11,172.00","40,396.00","3,378.00","11,557.00",257.00,"215,453.00"
2020,4,Misiones,51.00,524.00,"39,988.00","26,078.00","26,445.00","1,481.00","32,264.00","7,001.00","147,161.00"
2020,4,Neuquén,116.00,327.00,"56,434.00","8,478.00","5,791.00","5,493.00","50,776.00",572.00,"133,135.00"
2020,4,Río Negro,125.00,466.00,"70,305.00","4,153.00","13,131.00","3,512.00","29,372.00","20,146.00","14,121.00"
2020,4,Salta,109.00,514.00,"41,443.00","68,829.00","15,188.00","8,291.00","46,697.00","6,319.00","18,739.00"
2020,4,San Juan,25.00,194.00,"61,316.00",740.00,"5,126.00",332.00,275.00,"4,588.00","72,596.00"
2020,4,San Luis,58.00,0.00,"1,402.00",349.00,"2,688.00","62,239.00",22.00,"36,918.00","119,435.00"
2020,4,Santa Cruz,47.00,0.00,"27,173.00","4,382.00","6,634.00","1,033.00",647.00,758.00,"40,674.00"
2020,4,Santa Fe,518.00,891.00,"206,372.00","203,793.00","94,246.00","65,145.00","226,246.00","23,602.00","820,813.00"
2020,4,Santiago Del Estero,123.00,909.00,"34,518.00","5,759.00","4,666.00",411.00,452.00,"3,932.00","106,669.00"
2020,4,Tierra Del Fuego,17.00,0.00,"21,881.00","6,119.00","3,497.00",488.00,922.00,669.00,"39,614.00"
2020,4,Tucumán,29.00,97.00,"44,095.00","54,334.00","32,155.00","4,105.00","93,594.00",268.00,"231,089.00"
2020,3,Buenos Aires,"37,542.00","31,514.00","1,113,823.00","23,471.00","219,772.00","194,248.00","2,085,815.00","19,853.00","3,937,277.00"
